 ,Angle,Length,Folder,Image,species,sex,stage,Comment,Roi
107,-22.2,0.78,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,17525-26629
108,-127.09,0.76,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,17379-27880
109,34.82,0.82,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,16886-28010
110,-87.99,0.84,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,16129-26993
111,83.23,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,16366-27211
112,74.58,0.88,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,14534-27863
113,-153.43,0.79,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,13789-27278
114,161.22,0.78,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,13611-27272
115,126.3,0.89,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,12340-27239
116,77.24,0.8,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,12679-28331
117,109.5,0.75,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,male,adult,Birch Run,11933-28015
118,69.78,0.89,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,12073-27337
119,58.84,0.74,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,11950-27317
120,-128.66,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,11193-27206
121,116.08,0.77,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,11073-28051
122,-139.9,0.73,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,07962-26696
123,-39.67,0.78,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,06222-27712
124,95.81,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,05036-28019
125,142.37,0.89,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,04517-28013
126,-146.93,0.75,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,05083-28714
127,-157.8,0.78,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,08915-29524
128,-74.48,0.82,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,09734-29044
129,-71.57,0.84,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,10322-29042
130,71.57,0.84,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,10371-29618
131,74.52,0.99,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,11165-29486
132,76.7,0.83,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,11296-29536
133,146.85,0.86,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,12186-29107
134,113.07,0.86,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,12696-30037
135,80.69,0.91,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,13548-29924
136,-65.04,0.94,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,14155-29938
137,105.35,0.78,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,13713-29459
138,122.32,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,13431-30178
139,-124.51,0.86,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,15901-28657
140,103.57,0.88,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,15652-30065
141,42.14,0.83,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,16770-28976
142,-63,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,17813-28600
143,-153.82,0.97,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,18389-29677
144,-91.06,0.79,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,21029-28745
145,-1.97,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,21693-29615
146,149.04,0.86,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,19876-31406
147,23.86,0.84,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,17628-30932
148,135.69,0.86,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,17013-31766
149,-7.82,0.76,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,16881-31576
150,-72.65,0.74,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,15808-31207
151,-118.37,0.84,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,16519-31768
152,69.1,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,16698-31219
153,-153.87,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,13762-31141
154,49.4,0.81,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,14044-30641
155,75.26,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,13590-30298
156,100.06,0.93,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,12145-31494
157,62.56,0.86,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,12593-30382
158,86.93,0.82,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,11853-31168
159,68.75,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,10896-30274
160,107.24,0.89,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,10562-30572
161,100.92,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,10159-30583
162,53.13,0.74,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,11177-30944
163,-127.27,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,06237-30808
164,-52.13,0.84,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,11663-33038
165,-104.8,0.81,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,12942-32625
166,-147.09,0.89,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,12789-33794
167,85.16,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,13371-33791
